longitude,latitude,result_1990,result_1991,result_1992,result_1993,result_1994,result_1995,result_1996,result_1997,result_1998,result_1999,result_2000,result_2001,result_2002,result_2003,result_2004,result_2005,result_2006,result_2007,result_2008,result_2009,result_2010,result_2011,result_2012,result_2013,result_2014,result_2015,result_2016,result_2017,result_2018,result_2019,result_2020
76,38,358571.0312,365084.9848,371598.9384,378112.8919,384626.8455,391140.7991,396948.8803,402756.9615,408565.0426,414373.1238,388745.0,394980.0,400633.0,406341.0,412558.0,418358.0,424142.0,427980.0,435217.0,440328.0,443073.0,450523.0,456355.0,463625.0,470899.0,477955.0,485881.0,492161.0,498190.0,503464.0,509090.0
77,38,440954.7604,450145.7602,459336.76,468527.7599,477718.7597,486909.7595,495433.5697,503957.3798,512481.19,521005.0001,1291621.0,1308025.0,1328891.0,1346897.0,1367031.0,1390100.0,1411334.0,1432433.0,1453067.0,1472388.0,1487954.0,1507067.0,1529389.0,1548656.0,1570750.0,1595106.0,1615610.0,1635196.0,1654503.0,1673089.0,1690811.0
78,38,107095.2858,109345.2771,111595.2683,113845.2596,116095.2508,118345.2421,120438.179,122531.116,124624.0529,126716.9899,241427.0,248978.0,252118.0,255695.0,258706.0,261482.0,264928.0,269048.0,270495.0,274021.0,281006.0,283525.0,285822.0,290145.0,292305.0,294817.0,298311.0,302332.0,305126.0,309281.0,312993.0
79,38,82582.32125,84197.49552,85812.66979,87427.84406,89043.01833,90658.1926,92134.36541,93610.53823,95086.71104,96562.88386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,38,130584.9432,133382.1484,136179.3536,138976.5589,141773.7641,144570.9693,147180.9294,149790.8895,152400.8495,155010.8096,955.0,647.0,512.0,539.0,648.0,642.0,633.0,718.0,753.0,661.0,568.0,595.0,653.0,570.0,684.0,839.0,835.0,905.0,965.0,969.0,980.0
81,38,59941.40838,60936.42738,61931.44638,62926.46539,63921.48439,64916.50339,65781.25702,66646.01064,67510.76427,68375.51789,11822.0,9035.0,10888.0,11055.0,12271.0,11408.0,11263.0,12549.0,11055.0,11855.0,10112.0,12017.0,11805.0,12278.0,13560.0,17413.0,17985.0,17397.0,18471.0,18531.0,18407.0
82,38,26504.26029,27000.98102,27497.70175,27994.42247,28491.1432,28987.86393,29434.58284,29881.30176,30328.02067,30774.73959,2538.0,2732.0,2426.0,2424.0,2398.0,2155.0,2795.0,2630.0,2835.0,2726.0,2757.0,3280.0,2688.0,3308.0,3291.0,4917.0,4465.0,4565.0,4638.0,5096.0,5224.0
83,38,4007.029393,4082.964659,4158.899924,4234.83519,4310.770455,4386.705721,4455.836899,4524.968077,4594.099254,4663.230432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,38,3042.681733,3123.246234,3203.810735,3284.375235,3364.939736,3445.504237,3524.829377,3604.154517,3683.479657,3762.804797,26.0,29.0,31.0,30.0,34.0,37.0,38.0,33.0,36.0,39.0,38.0,38.0,47.0,39.0,54.0,77.0,73.0,70.0,68.0,70.0,71.0
85,38,2970.665713,3049.32342,3127.981126,3206.638833,3285.296539,3363.954246,3441.401863,3518.849481,3596.297098,3673.744716,54689.0,56401.0,57337.0,57997.0,59438.0,59481.0,61161.0,62548.0,63449.0,64742.0,65975.0,65663.0,66733.0,67836.0,68202.0,69187.0,70426.0,71580.0,72657.0,73679.0,74814.0
86,38,3042.681733,3123.246234,3203.810735,3284.375235,3364.939736,3445.504237,3524.829377,3604.154517,3683.479657,3762.804797,15140.0,15508.0,15445.0,15956.0,15876.0,16989.0,16925.0,16830.0,17555.0,17406.0,17985.0,18473.0,18794.0,19535.0,20101.0,20715.0,20815.0,21042.0,21318.0,21744.0,21985.0
87,38,1742.306027,1771.40187,1800.497712,1829.593555,1858.689397,1887.78524,1913.540625,1939.296011,1965.051396,1990.806782,6621.0,7008.0,7252.0,7670.0,7707.0,7585.0,7995.0,7869.0,8284.0,8584.0,8675.0,8535.0,8845.0,9029.0,9259.0,9318.0,9530.0,9712.0,9884.0,9955.0,10084.0
88,38,1392.52665,1407.778233,1423.029816,1438.281398,1453.532981,1468.784564,1480.130416,1491.476268,1502.822119,1514.167971,17685.0,18529.0,18568.0,14232.0,14720.0,16939.0,18280.0,18039.0,19865.0,20930.0,19923.0,19533.0,20363.0,19937.0,22401.0,24649.0,24944.0,25351.0,25798.0,26090.0,26446.0
89,38,1351.15256,1365.951279,1380.749997,1395.548716,1410.347434,1425.146153,1436.154807,1447.163461,1458.172116,1469.18077,3313.0,2652.0,3071.0,7847.0,7686.0,5223.0,5147.0,5477.0,5088.0,4813.0,6356.0,7543.0,7456.0,7878.0,6442.0,4433.0,4615.0,4721.0,4671.0,4847.0,4993.0
90,38,3104.355361,3159.031378,3213.707396,3268.383413,3323.059431,3377.735448,3426.196748,3474.658048,3523.119347,3571.580647,1584.0,1491.0,1243.0,2158.0,2331.0,2149.0,2130.0,2244.0,2085.0,2452.0,2508.0,2597.0,2605.0,2723.0,2190.0,1477.0,1594.0,1654.0,1731.0,1728.0,1797.0
91,38,5087.317947,5185.67066,5284.023373,5382.376086,5480.728799,5579.081512,5668.300891,5757.52027,5846.739649,5935.959028,21256.0,25706.0,26777.0,26563.0,27109.0,27288.0,28294.0,29538.0,28715.0,27914.0,33481.0,22883.0,23394.0,23608.0,33565.0,40818.0,42091.0,43198.0,43882.0,45982.0,47189.0
92,38,5326.273427,5430.57893,5534.884433,5639.189936,5743.495439,5847.800942,5942.704278,6037.607613,6132.510949,6227.414284,2528.0,1646.0,1940.0,2281.0,2587.0,3347.0,3480.0,3570.0,4644.0,5527.0,3927.0,1695.0,2440.0,2181.0,3103.0,3909.0,4085.0,4302.0,4857.0,4688.0,4929.0
93,38,5336.105761,5440.603126,5545.100491,5649.597855,5754.09522,5858.592585,5953.671441,6048.750297,6143.829154,6238.90801,589.0,950.0,1054.0,1152.0,1212.0,1191.0,1234.0,1462.0,1252.0,1421.0,1785.0,1750.0,1831.0,1936.0,1799.0,1505.0,1612.0,1689.0,1753.0,1765.0,1808.0
94,38,5739.032929,5851.420688,5963.808448,6076.196207,6188.583967,6300.971726,6403.230002,6505.488279,6607.746555,6710.004832,2676.0,2565.0,2326.0,2256.0,2176.0,2318.0,2372.0,2148.0,2386.0,2771.0,2355.0,2473.0,2498.0,2681.0,2970.0,3795.0,3808.0,3983.0,4033.0,4390.0,4496.0
